[ 2019-06-30T11:03:53+08:00 ] /abcTest/index.php/Login/index | ERR: (ThinkException) 模板不存在[./home/Tpl/Login/index.html]
[ 2019-06-30T14:08:53+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ app_begin ] --START--
[ 2019-06-30T14:08:53+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002137s ]
[ 2019-06-30T14:08:53+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002355s ]
[ 2019-06-30T14:08:53+08:00 ] /abcTest/index.php/Login/checkLogin | SQL: SHOW COLUMNS FROM `t_user` [ RunTime:0.006452s ]
[ 2019-06-30T14:08:53+08:00 ] /abcTest/index.php/Login/checkLogin | SQL: SELECT * FROM `t_user` WHERE userId ='456' LIMIT 1   [ RunTime:0.000676s ]
[ 2019-06-30T14:08:53+08:00 ] /abcTest/index.php/Login/checkLogin | NOTIC: [4096] Object of class Model could not be converted to string LoginAction.class.php 第 41 行.
[ 2019-06-30T14:09:35+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ route_check ] --START--
[ 2019-06-30T14:09:35+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run CheckRoute Behavior [ RunTime:0.002019s ]
[ 2019-06-30T14:09:35+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ route_check ] --END-- [ RunTime:0.002230s ]
[ 2019-06-30T14:09:35+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ app_begin ] --START--
[ 2019-06-30T14:09:35+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001428s ]
[ 2019-06-30T14:09:35+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001591s ]
[ 2019-06-30T14:09:35+08:00 ] /abcTest/index.php/Login/checkLogin | SQL: SHOW COLUMNS FROM `t_user` [ RunTime:0.006899s ]
[ 2019-06-30T14:09:35+08:00 ] /abcTest/index.php/Login/checkLogin | SQL: SELECT * FROM `t_user` WHERE userId ='456' LIMIT 1   [ RunTime:0.000390s ]
[ 2019-06-30T14:09:35+08:00 ] /abcTest/index.php/Login/checkLogin | SQL: SELECT `userRole` FROM `t_user` WHERE userId LIMIT 1   [ RunTime:0.000178s ]
[ 2019-06-30T14:09:35+08:00 ] /abcTest/index.php/Login/checkLogin | NOTIC: [8] Array to string conversion LoginAction.class.php 第 41 行.
[ 2019-06-30T14:14:19+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ route_check ] --START--
[ 2019-06-30T14:14:19+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run CheckRoute Behavior [ RunTime:0.002031s ]
[ 2019-06-30T14:14:19+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ route_check ] --END-- [ RunTime:0.002243s ]
[ 2019-06-30T14:14:19+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ app_begin ] --START--
[ 2019-06-30T14:14:19+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003713s ]
[ 2019-06-30T14:14:19+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003975s ]
[ 2019-06-30T14:14:19+08:00 ] /abcTest/index.php/Login/checkLogin | SQL: SHOW COLUMNS FROM `t_user` [ RunTime:0.006890s ]
[ 2019-06-30T14:14:19+08:00 ] /abcTest/index.php/Login/checkLogin | SQL: SELECT * FROM `t_user` WHERE userId ='456' LIMIT 1   [ RunTime:0.000372s ]
[ 2019-06-30T14:14:19+08:00 ] /abcTest/index.php/Login/checkLogin | SQL: SELECT `userRole` FROM `t_user` WHERE userId LIMIT 1   [ RunTime:0.000168s ]
[ 2019-06-30T14:14:19+08:00 ] /abcTest/index.php/Login/checkLogin | NOTIC: [8] Array to string conversion LoginAction.class.php 第 40 行.
[ 2019-06-30T14:14:31+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ route_check ] --START--
[ 2019-06-30T14:14:31+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run CheckRoute Behavior [ RunTime:0.002429s ]
[ 2019-06-30T14:14:31+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ route_check ] --END-- [ RunTime:0.002689s ]
[ 2019-06-30T14:14:31+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ app_begin ] --START--
[ 2019-06-30T14:14:31+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002499s ]
[ 2019-06-30T14:14:31+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002847s ]
[ 2019-06-30T14:14:31+08:00 ] /abcTest/index.php/Login/checkLogin | SQL: SHOW COLUMNS FROM `t_user` [ RunTime:0.008600s ]
[ 2019-06-30T14:14:31+08:00 ] /abcTest/index.php/Login/checkLogin | SQL: SELECT * FROM `t_user` WHERE userId ='456' LIMIT 1   [ RunTime:0.000511s ]
[ 2019-06-30T14:14:31+08:00 ] /abcTest/index.php/Login/checkLogin | SQL: SELECT `userRole` FROM `t_user` WHERE userId  [ RunTime:0.000376s ]
[ 2019-06-30T14:14:31+08:00 ] /abcTest/index.php/Login/checkLogin | NOTIC: [8] Array to string conversion LoginAction.class.php 第 40 行.
[ 2019-06-30T14:15:04+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ route_check ] --START--
[ 2019-06-30T14:15:04+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run CheckRoute Behavior [ RunTime:0.001792s ]
[ 2019-06-30T14:15:04+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ route_check ] --END-- [ RunTime:0.002027s ]
[ 2019-06-30T14:15:04+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ app_begin ] --START--
[ 2019-06-30T14:15:04+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001821s ]
[ 2019-06-30T14:15:04+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002054s ]
[ 2019-06-30T14:15:04+08:00 ] /abcTest/index.php/Login/checkLogin | SQL: SHOW COLUMNS FROM `t_user` [ RunTime:0.008716s ]
[ 2019-06-30T14:15:04+08:00 ] /abcTest/index.php/Login/checkLogin | SQL: SELECT * FROM `t_user` WHERE userId ='456' LIMIT 1   [ RunTime:0.000356s ]
[ 2019-06-30T14:15:04+08:00 ] /abcTest/index.php/Login/checkLogin | SQL: SELECT `userRole` FROM `t_user` WHERE userId ='456'  [ RunTime:0.000175s ]
[ 2019-06-30T14:15:04+08:00 ] /abcTest/index.php/Login/checkLogin | NOTIC: [8] Array to string conversion LoginAction.class.php 第 40 行.
[ 2019-06-30T14:27:37+08:00 ] /abcTest/index.php/Login/index/ | INFO: Tag[ route_check ] --START--
[ 2019-06-30T14:27:37+08:00 ] /abcTest/index.php/Login/index/ | INFO: Run CheckRoute Behavior [ RunTime:0.003182s ]
[ 2019-06-30T14:27:37+08:00 ] /abcTest/index.php/Login/index/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.003479s ]
[ 2019-06-30T14:27:37+08:00 ] /abcTest/index.php/Login/index/ | INFO: Tag[ app_begin ] --START--
[ 2019-06-30T14:27:37+08:00 ] /abcTest/index.php/Login/index/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.005542s ]
[ 2019-06-30T14:27:37+08:00 ] /abcTest/index.php/Login/index/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005821s ]
[ 2019-06-30T14:27:37+08:00 ] /abcTest/index.php/Login/index/ | INFO: Tag[ view_template ] --START--
[ 2019-06-30T14:27:37+08:00 ] /abcTest/index.php/Login/index/ | INFO: Run LocationTemplate Behavior [ RunTime:0.009456s ]
[ 2019-06-30T14:27:37+08:00 ] /abcTest/index.php/Login/index/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.009932s ]
[ 2019-06-30T14:27:37+08:00 ] /abcTest/index.php/Login/index/ | INFO: Tag[ view_parse ] --START--
[ 2019-06-30T14:27:37+08:00 ] /abcTest/index.php/Login/index/ | INFO: Run ParseTemplate Behavior [ RunTime:0.027008s ]
[ 2019-06-30T14:27:37+08:00 ] /abcTest/index.php/Login/index/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.027304s ]
[ 2019-06-30T14:27:37+08:00 ] /abcTest/index.php/Login/index/ | INFO: Tag[ view_filter ] --START--
[ 2019-06-30T14:27:37+08:00 ] /abcTest/index.php/Login/index/ | INFO: Run ContentReplace Behavior [ RunTime:0.001473s ]
[ 2019-06-30T14:27:37+08:00 ] /abcTest/index.php/Login/index/ | INFO: Run TokenBuild Behavior [ RunTime:0.001709s ]
[ 2019-06-30T14:27:37+08:00 ] /abcTest/index.php/Login/index/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001726s ]
[ 2019-06-30T14:27:37+08:00 ] /abcTest/index.php/Login/index/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001948s ]
[ 2019-06-30T14:27:37+08:00 ] /abcTest/index.php/Login/index/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007516s ]
[ 2019-06-30T14:27:37+08:00 ] /abcTest/index.php/Login/index/ | INFO: Tag[ view_end ] --START--
[ 2019-06-30T14:27:37+08:00 ] /abcTest/index.php/Login/index/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001270s ]
[ 2019-06-30T14:27:37+08:00 ] /abcTest/index.php/Login/index/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001460s ]
[ 2019-06-30T14:27:44+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ route_check ] --START--
[ 2019-06-30T14:27:44+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run CheckRoute Behavior [ RunTime:0.001281s ]
[ 2019-06-30T14:27:44+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ route_check ] --END-- [ RunTime:0.001480s ]
[ 2019-06-30T14:27:44+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ app_begin ] --START--
[ 2019-06-30T14:27:44+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001256s ]
[ 2019-06-30T14:27:44+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001405s ]
[ 2019-06-30T14:27:44+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ view_template ] --START--
[ 2019-06-30T14:27:44+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run LocationTemplate Behavior [ RunTime:0.002276s ]
[ 2019-06-30T14:27:44+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ view_template ] --END-- [ RunTime:0.003079s ]
[ 2019-06-30T14:27:44+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ view_parse ] --START--
[ 2019-06-30T14:27:44+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run ParseTemplate Behavior [ RunTime:0.013887s ]
[ 2019-06-30T14:27:44+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ view_parse ] --END-- [ RunTime:0.014145s ]
[ 2019-06-30T14:27:44+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ view_filter ] --START--
[ 2019-06-30T14:27:44+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run ContentReplace Behavior [ RunTime:0.002257s ]
[ 2019-06-30T14:27:44+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run TokenBuild Behavior [ RunTime:0.001290s ]
[ 2019-06-30T14:27:44+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000864s ]
[ 2019-06-30T14:27:44+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run ShowRuntime Behavior [ RunTime:0.001362s ]
[ 2019-06-30T14:27:44+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006350s ]
[ 2019-06-30T14:27:44+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ view_end ] --START--
[ 2019-06-30T14:27:44+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run ShowPageTrace Behavior [ RunTime:0.001136s ]
[ 2019-06-30T14:27:44+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ view_end ] --END-- [ RunTime:0.001302s ]
[ 2019-06-30T14:28:30+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ route_check ] --START--
[ 2019-06-30T14:28:30+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run CheckRoute Behavior [ RunTime:0.002788s ]
[ 2019-06-30T14:28:30+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ route_check ] --END-- [ RunTime:0.003025s ]
[ 2019-06-30T14:28:30+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ app_begin ] --START--
[ 2019-06-30T14:28:30+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001838s ]
[ 2019-06-30T14:28:30+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002049s ]
[ 2019-06-30T14:28:30+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ view_template ] --START--
[ 2019-06-30T14:28:30+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run LocationTemplate Behavior [ RunTime:0.001810s ]
[ 2019-06-30T14:28:30+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ view_template ] --END-- [ RunTime:0.001990s ]
[ 2019-06-30T14:28:30+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ view_parse ] --START--
[ 2019-06-30T14:28:30+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run ParseTemplate Behavior [ RunTime:0.014339s ]
[ 2019-06-30T14:28:30+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ view_parse ] --END-- [ RunTime:0.014534s ]
[ 2019-06-30T14:28:30+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ view_filter ] --START--
[ 2019-06-30T14:28:30+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run ContentReplace Behavior [ RunTime:0.000987s ]
[ 2019-06-30T14:28:30+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run TokenBuild Behavior [ RunTime:0.001111s ]
[ 2019-06-30T14:28:30+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000739s ]
[ 2019-06-30T14:28:30+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run ShowRuntime Behavior [ RunTime:0.001212s ]
[ 2019-06-30T14:28:30+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004465s ]
[ 2019-06-30T14:28:30+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ view_end ] --START--
[ 2019-06-30T14:28:30+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run ShowPageTrace Behavior [ RunTime:0.000960s ]
[ 2019-06-30T14:28:30+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ view_end ] --END-- [ RunTime:0.001094s ]
[ 2019-06-30T14:28:30+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ route_check ] --START--
[ 2019-06-30T14:28:30+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run CheckRoute Behavior [ RunTime:0.002840s ]
[ 2019-06-30T14:28:30+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ route_check ] --END-- [ RunTime:0.003159s ]
[ 2019-06-30T14:28:30+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ app_begin ] --START--
[ 2019-06-30T14:28:30+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001890s ]
[ 2019-06-30T14:28:30+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002111s ]
[ 2019-06-30T14:28:30+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ view_template ] --START--
[ 2019-06-30T14:28:30+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run LocationTemplate Behavior [ RunTime:0.001863s ]
[ 2019-06-30T14:28:30+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ view_template ] --END-- [ RunTime:0.002086s ]
[ 2019-06-30T14:28:30+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ view_parse ] --START--
[ 2019-06-30T14:28:30+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run ParseTemplate Behavior [ RunTime:0.016665s ]
[ 2019-06-30T14:28:30+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ view_parse ] --END-- [ RunTime:0.016873s ]
[ 2019-06-30T14:28:30+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ view_filter ] --START--
[ 2019-06-30T14:28:30+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run ContentReplace Behavior [ RunTime:0.001043s ]
[ 2019-06-30T14:28:30+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run TokenBuild Behavior [ RunTime:0.001643s ]
[ 2019-06-30T14:28:30+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001732s ]
[ 2019-06-30T14:28:30+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run ShowRuntime Behavior [ RunTime:0.001544s ]
[ 2019-06-30T14:28:30+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006529s ]
[ 2019-06-30T14:28:30+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ view_end ] --START--
[ 2019-06-30T14:28:30+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run ShowPageTrace Behavior [ RunTime:0.001239s ]
[ 2019-06-30T14:28:30+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ view_end ] --END-- [ RunTime:0.001409s ]
[ 2019-06-30T14:29:01+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ route_check ] --START--
[ 2019-06-30T14:29:01+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run CheckRoute Behavior [ RunTime:0.001767s ]
[ 2019-06-30T14:29:01+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ route_check ] --END-- [ RunTime:0.002165s ]
[ 2019-06-30T14:29:01+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ app_begin ] --START--
[ 2019-06-30T14:29:01+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001745s ]
[ 2019-06-30T14:29:01+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001949s ]
[ 2019-06-30T14:29:01+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ view_template ] --START--
[ 2019-06-30T14:29:01+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run LocationTemplate Behavior [ RunTime:0.001805s ]
[ 2019-06-30T14:29:01+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ view_template ] --END-- [ RunTime:0.002003s ]
[ 2019-06-30T14:29:01+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ view_parse ] --START--
[ 2019-06-30T14:29:01+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run ParseTemplate Behavior [ RunTime:0.013705s ]
[ 2019-06-30T14:29:01+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013913s ]
[ 2019-06-30T14:29:01+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ view_filter ] --START--
[ 2019-06-30T14:29:01+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run ContentReplace Behavior [ RunTime:0.001135s ]
[ 2019-06-30T14:29:01+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run TokenBuild Behavior [ RunTime:0.001426s ]
[ 2019-06-30T14:29:01+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000770s ]
[ 2019-06-30T14:29:01+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run ShowRuntime Behavior [ RunTime:0.001464s ]
[ 2019-06-30T14:29:01+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005294s ]
[ 2019-06-30T14:29:01+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ view_end ] --START--
[ 2019-06-30T14:29:01+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run ShowPageTrace Behavior [ RunTime:0.001275s ]
[ 2019-06-30T14:29:01+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ view_end ] --END-- [ RunTime:0.001441s ]
[ 2019-06-30T14:29:16+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ route_check ] --START--
[ 2019-06-30T14:29:16+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run CheckRoute Behavior [ RunTime:0.001544s ]
[ 2019-06-30T14:29:16+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ route_check ] --END-- [ RunTime:0.001744s ]
[ 2019-06-30T14:29:16+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ app_begin ] --START--
[ 2019-06-30T14:29:16+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002191s ]
[ 2019-06-30T14:29:16+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002374s ]
[ 2019-06-30T14:29:16+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ view_template ] --START--
[ 2019-06-30T14:29:16+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run LocationTemplate Behavior [ RunTime:0.002146s ]
[ 2019-06-30T14:29:16+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ view_template ] --END-- [ RunTime:0.002545s ]
[ 2019-06-30T14:29:16+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ view_parse ] --START--
[ 2019-06-30T14:29:16+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run ParseTemplate Behavior [ RunTime:0.013768s ]
[ 2019-06-30T14:29:16+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ view_parse ] --END-- [ RunTime:0.014038s ]
[ 2019-06-30T14:29:16+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ view_filter ] --START--
[ 2019-06-30T14:29:16+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run ContentReplace Behavior [ RunTime:0.001985s ]
[ 2019-06-30T14:29:16+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run TokenBuild Behavior [ RunTime:0.001404s ]
[ 2019-06-30T14:29:16+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000814s ]
[ 2019-06-30T14:29:16+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run ShowRuntime Behavior [ RunTime:0.001303s ]
[ 2019-06-30T14:29:16+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006003s ]
[ 2019-06-30T14:29:16+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ view_end ] --START--
[ 2019-06-30T14:29:16+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run ShowPageTrace Behavior [ RunTime:0.000974s ]
[ 2019-06-30T14:29:16+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ view_end ] --END-- [ RunTime:0.001121s ]
[ 2019-06-30T14:29:36+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ route_check ] --START--
[ 2019-06-30T14:29:36+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run CheckRoute Behavior [ RunTime:0.002030s ]
[ 2019-06-30T14:29:36+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ route_check ] --END-- [ RunTime:0.002248s ]
[ 2019-06-30T14:29:36+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ app_begin ] --START--
[ 2019-06-30T14:29:36+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001623s ]
[ 2019-06-30T14:29:36+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001835s ]
[ 2019-06-30T14:29:36+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ view_template ] --START--
[ 2019-06-30T14:29:36+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run LocationTemplate Behavior [ RunTime:0.001774s ]
[ 2019-06-30T14:29:36+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ view_template ] --END-- [ RunTime:0.001952s ]
[ 2019-06-30T14:29:36+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ view_parse ] --START--
[ 2019-06-30T14:29:36+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run ParseTemplate Behavior [ RunTime:0.015211s ]
[ 2019-06-30T14:29:36+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015404s ]
[ 2019-06-30T14:29:36+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ view_filter ] --START--
[ 2019-06-30T14:29:36+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run ContentReplace Behavior [ RunTime:0.000972s ]
[ 2019-06-30T14:29:36+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run TokenBuild Behavior [ RunTime:0.001853s ]
[ 2019-06-30T14:29:36+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000737s ]
[ 2019-06-30T14:29:36+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run ShowRuntime Behavior [ RunTime:0.001265s ]
[ 2019-06-30T14:29:36+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005258s ]
[ 2019-06-30T14:29:36+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ view_end ] --START--
[ 2019-06-30T14:29:36+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Run ShowPageTrace Behavior [ RunTime:0.001192s ]
[ 2019-06-30T14:29:36+08:00 ] /abcTest/index.php/Login/index/checkLogin | INFO: Tag[ view_end ] --END-- [ RunTime:0.001433s ]
