[ 2012-05-11T19:15:18+08:00 ] /SiaWeb/admin.php/person | ERR: (ThinkException) 无法加载模块person
[ 2012-05-11T19:39:32+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Run TokenBuild Behavior [ RunTime:0.000571s ]
[ 2012-05-11T19:39:32+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000374s ]
[ 2012-05-11T19:39:32+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Run ShowRuntime Behavior [ RunTime:0.001001s ]
[ 2012-05-11T19:39:32+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002746s ]
[ 2012-05-11T19:39:32+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Tag[ view_end ] --START--
[ 2012-05-11T19:39:32+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Run ShowPageTrace Behavior [ RunTime:0.000901s ]
[ 2012-05-11T19:39:32+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Tag[ view_end ] --END-- [ RunTime:0.001053s ]
[ 2012-05-11T19:39:33+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ route_check ] --START--
[ 2012-05-11T19:39:33+08:00 ] /SiaWeb/admin.php/Person | INFO: Run CheckRoute Behavior [ RunTime:0.001312s ]
[ 2012-05-11T19:39:33+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ route_check ] --END-- [ RunTime:0.001498s ]
[ 2012-05-11T19:39:33+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ app_begin ] --START--
[ 2012-05-11T19:39:33+08:00 ] /SiaWeb/admin.php/Person | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001100s ]
[ 2012-05-11T19:39:33+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001241s ]
[ 2012-05-11T19:39:33+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_template ] --START--
[ 2012-05-11T19:39:33+08:00 ] /SiaWeb/admin.php/Person | INFO: Run LocationTemplate Behavior [ RunTime:0.001366s ]
[ 2012-05-11T19:39:33+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_template ] --END-- [ RunTime:0.001514s ]
[ 2012-05-11T19:39:33+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_parse ] --START--
[ 2012-05-11T19:39:33+08:00 ] /SiaWeb/admin.php/Person | INFO: Run ParseTemplate Behavior [ RunTime:0.013506s ]
[ 2012-05-11T19:39:33+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013636s ]
[ 2012-05-11T19:39:33+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_filter ] --START--
[ 2012-05-11T19:39:33+08:00 ] /SiaWeb/admin.php/Person | INFO: Run ContentReplace Behavior [ RunTime:0.000565s ]
[ 2012-05-11T19:39:33+08:00 ] /SiaWeb/admin.php/Person | INFO: Run TokenBuild Behavior [ RunTime:0.000601s ]
[ 2012-05-11T19:39:33+08:00 ] /SiaWeb/admin.php/Person | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000391s ]
[ 2012-05-11T19:39:33+08:00 ] /SiaWeb/admin.php/Person | INFO: Run ShowRuntime Behavior [ RunTime:0.000751s ]
[ 2012-05-11T19:39:33+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002539s ]
[ 2012-05-11T19:39:33+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_end ] --START--
[ 2012-05-11T19:39:33+08:00 ] /SiaWeb/admin.php/Person | INFO: Run ShowPageTrace Behavior [ RunTime:0.000579s ]
[ 2012-05-11T19:39:33+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_end ] --END-- [ RunTime:0.000653s ]
[ 2012-05-11T19:41:02+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Tag[ route_check ] --START--
[ 2012-05-11T19:41:02+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Run CheckRoute Behavior [ RunTime:0.000923s ]
[ 2012-05-11T19:41:02+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Tag[ route_check ] --END-- [ RunTime:0.001042s ]
[ 2012-05-11T19:41:02+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Tag[ app_begin ] --START--
[ 2012-05-11T19:41:02+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000604s ]
[ 2012-05-11T19:41:02+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000682s ]
[ 2012-05-11T19:41:02+08:00 ] /SiaWeb/admin.php/Person/add | SQL: SHOW COLUMNS FROM `think_person` [ RunTime:0.004377s ]
[ 2012-05-11T19:41:02+08:00 ] /SiaWeb/admin.php/Person/add | SQL: INSERT INTO `think_person` (`name`,`major`,`jobtitle`,`job`) VALUES ('李洪波','自动推理','研究员','主任') [ RunTime:0.044206s ]
[ 2012-05-11T19:41:02+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Tag[ view_template ] --START--
[ 2012-05-11T19:41:02+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Run LocationTemplate Behavior [ RunTime:0.000725s ]
[ 2012-05-11T19:41:02+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Tag[ view_template ] --END-- [ RunTime:0.000832s ]
[ 2012-05-11T19:41:02+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Tag[ view_parse ] --START--
[ 2012-05-11T19:41:02+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Run ParseTemplate Behavior [ RunTime:0.009347s ]
[ 2012-05-11T19:41:02+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009491s ]
[ 2012-05-11T19:41:02+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Tag[ view_filter ] --START--
[ 2012-05-11T19:41:02+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Run ContentReplace Behavior [ RunTime:0.000761s ]
[ 2012-05-11T19:41:02+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Run TokenBuild Behavior [ RunTime:0.000776s ]
[ 2012-05-11T19:41:02+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000496s ]
[ 2012-05-11T19:41:02+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Run ShowRuntime Behavior [ RunTime:0.000933s ]
[ 2012-05-11T19:41:02+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003375s ]
[ 2012-05-11T19:41:02+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Tag[ view_end ] --START--
[ 2012-05-11T19:41:02+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Run ShowPageTrace Behavior [ RunTime:0.000779s ]
[ 2012-05-11T19:41:02+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Tag[ view_end ] --END-- [ RunTime:0.000926s ]
[ 2012-05-11T19:41:03+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ route_check ] --START--
[ 2012-05-11T19:41:03+08:00 ] /SiaWeb/admin.php/Person | INFO: Run CheckRoute Behavior [ RunTime:0.000740s ]
[ 2012-05-11T19:41:03+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ route_check ] --END-- [ RunTime:0.000855s ]
[ 2012-05-11T19:41:03+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ app_begin ] --START--
[ 2012-05-11T19:41:03+08:00 ] /SiaWeb/admin.php/Person | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000523s ]
[ 2012-05-11T19:41:03+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000600s ]
[ 2012-05-11T19:41:03+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_template ] --START--
[ 2012-05-11T19:41:03+08:00 ] /SiaWeb/admin.php/Person | INFO: Run LocationTemplate Behavior [ RunTime:0.000547s ]
[ 2012-05-11T19:41:03+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_template ] --END-- [ RunTime:0.000630s ]
[ 2012-05-11T19:41:03+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_parse ] --START--
[ 2012-05-11T19:41:03+08:00 ] /SiaWeb/admin.php/Person | INFO: Run ParseTemplate Behavior [ RunTime:0.006384s ]
[ 2012-05-11T19:41:03+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_parse ] --END-- [ RunTime:0.006512s ]
[ 2012-05-11T19:41:03+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_filter ] --START--
[ 2012-05-11T19:41:03+08:00 ] /SiaWeb/admin.php/Person | INFO: Run ContentReplace Behavior [ RunTime:0.000602s ]
[ 2012-05-11T19:41:03+08:00 ] /SiaWeb/admin.php/Person | INFO: Run TokenBuild Behavior [ RunTime:0.000706s ]
[ 2012-05-11T19:41:03+08:00 ] /SiaWeb/admin.php/Person | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000250s ]
[ 2012-05-11T19:41:03+08:00 ] /SiaWeb/admin.php/Person | INFO: Run ShowRuntime Behavior [ RunTime:0.000496s ]
[ 2012-05-11T19:41:03+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002334s ]
[ 2012-05-11T19:41:03+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_end ] --START--
[ 2012-05-11T19:41:03+08:00 ] /SiaWeb/admin.php/Person | INFO: Run ShowPageTrace Behavior [ RunTime:0.000422s ]
[ 2012-05-11T19:41:03+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_end ] --END-- [ RunTime:0.000494s ]
[ 2012-05-11T19:41:25+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Tag[ route_check ] --START--
[ 2012-05-11T19:41:25+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Run CheckRoute Behavior [ RunTime:0.000904s ]
[ 2012-05-11T19:41:25+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Tag[ route_check ] --END-- [ RunTime:0.001027s ]
[ 2012-05-11T19:41:25+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Tag[ app_begin ] --START--
[ 2012-05-11T19:41:25+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000640s ]
[ 2012-05-11T19:41:25+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000716s ]
[ 2012-05-11T19:41:25+08:00 ] /SiaWeb/admin.php/Person/add | SQL: SHOW COLUMNS FROM `think_person` [ RunTime:0.003929s ]
[ 2012-05-11T19:41:25+08:00 ] /SiaWeb/admin.php/Person/add | SQL: INSERT INTO `think_person` (`name`,`major`,`jobtitle`,`job`) VALUES ('李子明','符号计算','研究员','副主任') [ RunTime:0.000203s ]
[ 2012-05-11T19:41:25+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Tag[ view_template ] --START--
[ 2012-05-11T19:41:25+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Run LocationTemplate Behavior [ RunTime:0.000951s ]
[ 2012-05-11T19:41:25+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Tag[ view_template ] --END-- [ RunTime:0.001100s ]
[ 2012-05-11T19:41:25+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Tag[ view_parse ] --START--
[ 2012-05-11T19:41:26+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Run ParseTemplate Behavior [ RunTime:0.010956s ]
[ 2012-05-11T19:41:26+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011086s ]
[ 2012-05-11T19:41:26+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Tag[ view_filter ] --START--
[ 2012-05-11T19:41:26+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Run ContentReplace Behavior [ RunTime:0.000519s ]
[ 2012-05-11T19:41:26+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Run TokenBuild Behavior [ RunTime:0.000538s ]
[ 2012-05-11T19:41:26+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000384s ]
[ 2012-05-11T19:41:26+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Run ShowRuntime Behavior [ RunTime:0.000631s ]
[ 2012-05-11T19:41:26+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002313s ]
[ 2012-05-11T19:41:26+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Tag[ view_end ] --START--
[ 2012-05-11T19:41:26+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Run ShowPageTrace Behavior [ RunTime:0.000553s ]
[ 2012-05-11T19:41:26+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Tag[ view_end ] --END-- [ RunTime:0.000636s ]
[ 2012-05-11T19:41:27+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ route_check ] --START--
[ 2012-05-11T19:41:27+08:00 ] /SiaWeb/admin.php/Person | INFO: Run CheckRoute Behavior [ RunTime:0.000894s ]
[ 2012-05-11T19:41:27+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ route_check ] --END-- [ RunTime:0.001014s ]
[ 2012-05-11T19:41:27+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ app_begin ] --START--
[ 2012-05-11T19:41:27+08:00 ] /SiaWeb/admin.php/Person | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000853s ]
[ 2012-05-11T19:41:27+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000935s ]
[ 2012-05-11T19:41:27+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_template ] --START--
[ 2012-05-11T19:41:27+08:00 ] /SiaWeb/admin.php/Person | INFO: Run LocationTemplate Behavior [ RunTime:0.000756s ]
[ 2012-05-11T19:41:27+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_template ] --END-- [ RunTime:0.000843s ]
[ 2012-05-11T19:41:27+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_parse ] --START--
[ 2012-05-11T19:41:27+08:00 ] /SiaWeb/admin.php/Person | INFO: Run ParseTemplate Behavior [ RunTime:0.008559s ]
[ 2012-05-11T19:41:27+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008656s ]
[ 2012-05-11T19:41:27+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_filter ] --START--
[ 2012-05-11T19:41:27+08:00 ] /SiaWeb/admin.php/Person | INFO: Run ContentReplace Behavior [ RunTime:0.000506s ]
[ 2012-05-11T19:41:27+08:00 ] /SiaWeb/admin.php/Person | INFO: Run TokenBuild Behavior [ RunTime:0.000618s ]
[ 2012-05-11T19:41:27+08:00 ] /SiaWeb/admin.php/Person | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000376s ]
[ 2012-05-11T19:41:27+08:00 ] /SiaWeb/admin.php/Person | INFO: Run ShowRuntime Behavior [ RunTime:0.000640s ]
[ 2012-05-11T19:41:27+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002379s ]
[ 2012-05-11T19:41:27+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_end ] --START--
[ 2012-05-11T19:41:27+08:00 ] /SiaWeb/admin.php/Person | INFO: Run ShowPageTrace Behavior [ RunTime:0.000616s ]
[ 2012-05-11T19:41:27+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_end ] --END-- [ RunTime:0.000789s ]
[ 2012-05-11T19:49:49+08:00 ] /SiaWeb/admin.php/Person | ERR: (ThinkException) Model:filed您所请求的方法不存在！
[ 2012-05-11T19:50:05+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ route_check ] --START--
[ 2012-05-11T19:50:05+08:00 ] /SiaWeb/admin.php/Person | INFO: Run CheckRoute Behavior [ RunTime:0.000973s ]
[ 2012-05-11T19:50:05+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ route_check ] --END-- [ RunTime:0.001091s ]
[ 2012-05-11T19:50:05+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ app_begin ] --START--
[ 2012-05-11T19:50:05+08:00 ] /SiaWeb/admin.php/Person | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000641s ]
[ 2012-05-11T19:50:05+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000722s ]
[ 2012-05-11T19:50:05+08:00 ] /SiaWeb/admin.php/Person | SQL: SHOW COLUMNS FROM `think_person` [ RunTime:0.003225s ]
[ 2012-05-11T19:50:05+08:00 ] /SiaWeb/admin.php/Person | SQL: SELECT `name`,`major` FROM `think_person`  [ RunTime:0.000208s ]
[ 2012-05-11T19:50:05+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_template ] --START--
[ 2012-05-11T19:50:05+08:00 ] /SiaWeb/admin.php/Person | INFO: Run LocationTemplate Behavior [ RunTime:0.000951s ]
[ 2012-05-11T19:50:05+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_template ] --END-- [ RunTime:0.001067s ]
[ 2012-05-11T19:50:05+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_parse ] --START--
[ 2012-05-11T19:50:05+08:00 ] /SiaWeb/admin.php/Person | NOTIC: [8] Undefined index: mojor e0a30f13b67ca08dcfd2020e5eee6f57.php 第 16 行.
[ 2012-05-11T19:50:05+08:00 ] /SiaWeb/admin.php/Person | NOTIC: [8] Undefined index: mojor e0a30f13b67ca08dcfd2020e5eee6f57.php 第 16 行.
[ 2012-05-11T19:50:05+08:00 ] /SiaWeb/admin.php/Person | NOTIC: [8] Undefined index: mojor e0a30f13b67ca08dcfd2020e5eee6f57.php 第 16 行.
[ 2012-05-11T19:50:05+08:00 ] /SiaWeb/admin.php/Person | INFO: Run ParseTemplate Behavior [ RunTime:0.012277s ]
[ 2012-05-11T19:50:05+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_parse ] --END-- [ RunTime:0.012383s ]
[ 2012-05-11T19:50:05+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_filter ] --START--
[ 2012-05-11T19:50:05+08:00 ] /SiaWeb/admin.php/Person | INFO: Run ContentReplace Behavior [ RunTime:0.000456s ]
[ 2012-05-11T19:50:05+08:00 ] /SiaWeb/admin.php/Person | INFO: Run TokenBuild Behavior [ RunTime:0.000640s ]
[ 2012-05-11T19:50:05+08:00 ] /SiaWeb/admin.php/Person | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000319s ]
[ 2012-05-11T19:50:05+08:00 ] /SiaWeb/admin.php/Person | INFO: Run ShowRuntime Behavior [ RunTime:0.000599s ]
[ 2012-05-11T19:50:05+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002248s ]
[ 2012-05-11T19:50:05+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_end ] --START--
[ 2012-05-11T19:50:05+08:00 ] /SiaWeb/admin.php/Person | INFO: Run ShowPageTrace Behavior [ RunTime:0.000508s ]
[ 2012-05-11T19:50:05+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_end ] --END-- [ RunTime:0.000583s ]
[ 2012-05-11T19:50:31+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ route_check ] --START--
[ 2012-05-11T19:50:31+08:00 ] /SiaWeb/admin.php/Person | INFO: Run CheckRoute Behavior [ RunTime:0.001149s ]
[ 2012-05-11T19:50:31+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ route_check ] --END-- [ RunTime:0.001326s ]
[ 2012-05-11T19:50:31+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ app_begin ] --START--
[ 2012-05-11T19:50:31+08:00 ] /SiaWeb/admin.php/Person | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000874s ]
[ 2012-05-11T19:50:31+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001005s ]
[ 2012-05-11T19:50:31+08:00 ] /SiaWeb/admin.php/Person | SQL: SHOW COLUMNS FROM `think_person` [ RunTime:0.004716s ]
[ 2012-05-11T19:50:31+08:00 ] /SiaWeb/admin.php/Person | SQL: SELECT `name`,`major` FROM `think_person`  [ RunTime:0.000219s ]
[ 2012-05-11T19:50:31+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_template ] --START--
[ 2012-05-11T19:50:31+08:00 ] /SiaWeb/admin.php/Person | INFO: Run LocationTemplate Behavior [ RunTime:0.000484s ]
[ 2012-05-11T19:50:31+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_template ] --END-- [ RunTime:0.000573s ]
[ 2012-05-11T19:50:31+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_parse ] --START--
[ 2012-05-11T19:50:31+08:00 ] /SiaWeb/admin.php/Person | INFO: Run ParseTemplate Behavior [ RunTime:0.007870s ]
[ 2012-05-11T19:50:31+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_parse ] --END-- [ RunTime:0.007970s ]
[ 2012-05-11T19:50:31+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_filter ] --START--
[ 2012-05-11T19:50:31+08:00 ] /SiaWeb/admin.php/Person | INFO: Run ContentReplace Behavior [ RunTime:0.000413s ]
[ 2012-05-11T19:50:31+08:00 ] /SiaWeb/admin.php/Person | INFO: Run TokenBuild Behavior [ RunTime:0.000470s ]
[ 2012-05-11T19:50:31+08:00 ] /SiaWeb/admin.php/Person | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000249s ]
[ 2012-05-11T19:50:31+08:00 ] /SiaWeb/admin.php/Person | INFO: Run ShowRuntime Behavior [ RunTime:0.000518s ]
[ 2012-05-11T19:50:31+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001875s ]
[ 2012-05-11T19:50:31+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_end ] --START--
[ 2012-05-11T19:50:31+08:00 ] /SiaWeb/admin.php/Person | INFO: Run ShowPageTrace Behavior [ RunTime:0.000426s ]
[ 2012-05-11T19:50:31+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_end ] --END-- [ RunTime:0.000502s ]
[ 2012-05-11T19:53:32+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ route_check ] --START--
[ 2012-05-11T19:53:32+08:00 ] /SiaWeb/admin.php/Person | INFO: Run CheckRoute Behavior [ RunTime:0.000948s ]
[ 2012-05-11T19:53:32+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ route_check ] --END-- [ RunTime:0.001068s ]
[ 2012-05-11T19:53:32+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ app_begin ] --START--
[ 2012-05-11T19:53:32+08:00 ] /SiaWeb/admin.php/Person | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000635s ]
[ 2012-05-11T19:53:32+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000714s ]
[ 2012-05-11T19:53:32+08:00 ] /SiaWeb/admin.php/Person | SQL: SHOW COLUMNS FROM `think_person` [ RunTime:0.003814s ]
[ 2012-05-11T19:53:32+08:00 ] /SiaWeb/admin.php/Person | SQL: SELECT `name`,`major` FROM `think_person`  [ RunTime:0.000252s ]
[ 2012-05-11T19:53:32+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_template ] --START--
[ 2012-05-11T19:53:32+08:00 ] /SiaWeb/admin.php/Person | INFO: Run LocationTemplate Behavior [ RunTime:0.000893s ]
[ 2012-05-11T19:53:32+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_template ] --END-- [ RunTime:0.000984s ]
[ 2012-05-11T19:53:32+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_parse ] --START--
[ 2012-05-11T19:53:32+08:00 ] /SiaWeb/admin.php/Person | NOTIC: [8] Undefined index: id e0a30f13b67ca08dcfd2020e5eee6f57.php 第 19 行.
[ 2012-05-11T19:53:32+08:00 ] /SiaWeb/admin.php/Person | NOTIC: [8] Undefined index: id e0a30f13b67ca08dcfd2020e5eee6f57.php 第 20 行.
[ 2012-05-11T19:53:32+08:00 ] /SiaWeb/admin.php/Person | NOTIC: [8] Undefined index: id e0a30f13b67ca08dcfd2020e5eee6f57.php 第 19 行.
[ 2012-05-11T19:53:32+08:00 ] /SiaWeb/admin.php/Person | NOTIC: [8] Undefined index: id e0a30f13b67ca08dcfd2020e5eee6f57.php 第 20 行.
[ 2012-05-11T19:53:32+08:00 ] /SiaWeb/admin.php/Person | NOTIC: [8] Undefined index: id e0a30f13b67ca08dcfd2020e5eee6f57.php 第 19 行.
[ 2012-05-11T19:53:32+08:00 ] /SiaWeb/admin.php/Person | NOTIC: [8] Undefined index: id e0a30f13b67ca08dcfd2020e5eee6f57.php 第 20 行.
[ 2012-05-11T19:53:32+08:00 ] /SiaWeb/admin.php/Person | INFO: Run ParseTemplate Behavior [ RunTime:0.010064s ]
[ 2012-05-11T19:53:32+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010149s ]
[ 2012-05-11T19:53:32+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_filter ] --START--
[ 2012-05-11T19:53:32+08:00 ] /SiaWeb/admin.php/Person | INFO: Run ContentReplace Behavior [ RunTime:0.000517s ]
[ 2012-05-11T19:53:32+08:00 ] /SiaWeb/admin.php/Person | INFO: Run TokenBuild Behavior [ RunTime:0.000603s ]
[ 2012-05-11T19:53:32+08:00 ] /SiaWeb/admin.php/Person | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000359s ]
[ 2012-05-11T19:53:32+08:00 ] /SiaWeb/admin.php/Person | INFO: Run ShowRuntime Behavior [ RunTime:0.000643s ]
[ 2012-05-11T19:53:32+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002345s ]
[ 2012-05-11T19:53:32+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_end ] --START--
[ 2012-05-11T19:53:32+08:00 ] /SiaWeb/admin.php/Person | INFO: Run ShowPageTrace Behavior [ RunTime:0.000523s ]
[ 2012-05-11T19:53:32+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_end ] --END-- [ RunTime:0.000601s ]
[ 2012-05-11T19:53:34+08:00 ] /SiaWeb/admin.php/Person/del/id/ | ERR: (ThinkException) 非法操作del
[ 2012-05-11T19:53:37+08:00 ] /SiaWeb/admin.php/Person/edit/id/ | ERR: (ThinkException) 非法操作edit
[ 2012-05-11T19:55:46+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ route_check ] --START--
[ 2012-05-11T19:55:46+08:00 ] /SiaWeb/admin.php/Person | INFO: Run CheckRoute Behavior [ RunTime:0.001150s ]
[ 2012-05-11T19:55:46+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ route_check ] --END-- [ RunTime:0.001282s ]
[ 2012-05-11T19:55:46+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ app_begin ] --START--
[ 2012-05-11T19:55:46+08:00 ] /SiaWeb/admin.php/Person | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000653s ]
